Local Time,Real Energy Into the Load
2025-Aug-05 06:00:00.000,3861228
2025-Aug-05 06:15:00.000,3861245
2025-Aug-05 06:30:00.000,3861263
2025-Aug-05 06:45:00.000,3861281
2025-Aug-05 07:00:00.000,3861299
2025-Aug-05 07:15:00.000,3861310
2025-Aug-05 07:30:00.000,3861327
2025-Aug-05 07:45:00.000,3861344
2025-Aug-05 08:00:00.000,3861360
2025-Aug-05 08:15:00.000,3861376
2025-Aug-05 08:30:00.000,3861392
2025-Aug-05 08:45:00.000,3861409
2025-Aug-05 09:00:00.000,3861425
2025-Aug-05 09:15:00.000,3861441
2025-Aug-05 09:30:00.000,3861458
2025-Aug-05 09:45:00.000,3861474
2025-Aug-05 10:00:00.000,3861491
2025-Aug-05 10:15:00.000,3861508
2025-Aug-05 10:30:00.000,3861525
2025-Aug-05 10:45:00.000,3861541
2025-Aug-05 11:00:00.000,3861558
2025-Aug-05 11:15:00.000,3861573
2025-Aug-05 11:30:00.000,3861589
2025-Aug-05 11:45:00.000,3861606
2025-Aug-05 12:00:00.000,3861623
2025-Aug-05 12:15:00.000,3861641
2025-Aug-05 12:30:00.000,3861658
2025-Aug-05 12:45:00.000,3861676
2025-Aug-05 13:00:00.000,3861693
2025-Aug-05 13:15:00.000,3861711
2025-Aug-05 13:30:00.000,3861730
2025-Aug-05 13:45:00.000,3861748
2025-Aug-05 14:00:00.000,3861766
2025-Aug-05 14:15:00.000,3861784
2025-Aug-05 14:30:00.000,3861802
2025-Aug-05 14:45:00.000,3861821
2025-Aug-05 15:00:00.000,3861842
2025-Aug-05 15:15:00.000,3861860
2025-Aug-05 15:30:00.000,3861879
2025-Aug-05 15:45:00.000,3861897
2025-Aug-05 16:00:00.000,3861916
2025-Aug-05 16:15:00.000,3861938
2025-Aug-05 16:30:00.000,3861953
2025-Aug-05 16:45:00.000,3861973
2025-Aug-05 17:00:00.000,3861994
2025-Aug-05 17:15:00.000,3862017
2025-Aug-05 17:30:00.000,3862038
2025-Aug-05 17:45:00.000,3862059
2025-Aug-05 18:00:00.000,3862079
2025-Aug-05 18:15:00.000,3862099
2025-Aug-05 18:30:00.000,3862119
2025-Aug-05 18:45:00.000,3862138
2025-Aug-05 19:00:00.000,3862158
2025-Aug-05 19:15:00.000,3862177
2025-Aug-05 19:30:00.000,3862195
2025-Aug-05 19:45:00.000,3862212
2025-Aug-05 20:00:00.000,3862229
2025-Aug-05 20:15:00.000,3862247
2025-Aug-05 20:30:00.000,3862264
2025-Aug-05 20:45:00.000,3862283
2025-Aug-05 21:00:00.000,3862303
2025-Aug-05 21:15:00.000,3862323
2025-Aug-05 21:30:00.000,3862344
2025-Aug-05 21:45:00.000,3862364
2025-Aug-05 22:00:00.000,3862384
2025-Aug-05 22:15:00.000,3862404
2025-Aug-05 22:30:00.000,3862425
2025-Aug-05 22:45:00.000,3862446
2025-Aug-05 23:00:00.000,3862467
2025-Aug-05 23:15:00.000,3862488
2025-Aug-05 23:30:00.000,3862508
2025-Aug-05 23:45:00.000,3862529
2025-Aug-06 00:00:00.000,3862550
2025-Aug-06 00:15:00.000,3862571
2025-Aug-06 00:30:00.000,3862592
2025-Aug-06 00:45:00.000,3862612
2025-Aug-06 01:00:00.000,3862633
2025-Aug-06 01:15:00.000,3862654
2025-Aug-06 01:30:00.000,3862675
2025-Aug-06 01:45:00.000,3862696
2025-Aug-06 02:00:00.000,3862717
2025-Aug-06 02:15:00.000,3862738
2025-Aug-06 02:30:00.000,3862759
2025-Aug-06 02:45:00.000,3862781
2025-Aug-06 03:00:00.000,3862802
2025-Aug-06 03:15:00.000,3862824
2025-Aug-06 03:30:00.000,3862847
2025-Aug-06 03:45:00.000,3862868
2025-Aug-06 04:00:00.000,3862883
2025-Aug-06 04:15:00.000,3862905
2025-Aug-06 04:30:00.000,3862926
2025-Aug-06 04:45:00.000,3862948
2025-Aug-06 05:00:00.000,3862970
2025-Aug-06 05:15:00.000,3862992
2025-Aug-06 05:30:00.000,3863014
2025-Aug-06 05:45:00.000,3863035
2025-Aug-06 06:00:00.000,3863057
2025-Aug-06 06:15:00.000,3863079
2025-Aug-06 06:30:00.000,3863100
2025-Aug-06 06:45:00.000,3863122
2025-Aug-06 07:00:00.000,3863144
2025-Aug-06 07:15:00.000,3863166
2025-Aug-06 07:30:00.000,3863189
2025-Aug-06 07:45:00.000,3863212
2025-Aug-06 08:00:00.000,3863235
2025-Aug-06 08:15:00.000,3863258
2025-Aug-06 08:30:00.000,3863281
2025-Aug-06 08:45:00.000,3863303
2025-Aug-06 09:00:00.000,3863325
2025-Aug-06 09:15:00.000,3863347
2025-Aug-06 09:30:00.000,3863370
2025-Aug-06 09:45:00.000,3863392
2025-Aug-06 10:00:00.000,3863415
2025-Aug-06 10:15:00.000,3863440
2025-Aug-06 10:30:00.000,3863465
2025-Aug-06 10:45:00.000,3863491
2025-Aug-06 11:00:00.000,3863516
2025-Aug-06 11:15:00.000,3863544
2025-Aug-06 11:30:00.000,3863572
2025-Aug-06 11:45:00.000,3863600
2025-Aug-06 12:00:00.000,3863630
2025-Aug-06 12:15:00.000,3863661
2025-Aug-06 12:30:00.000,3863689
2025-Aug-06 12:45:00.000,3863714
2025-Aug-06 13:00:00.000,3863737
2025-Aug-06 13:15:00.000,3863761
2025-Aug-06 13:30:00.000,3863786
2025-Aug-06 13:45:00.000,3863811
2025-Aug-06 14:00:00.000,3863836
2025-Aug-06 14:15:00.000,3863861
2025-Aug-06 14:30:00.000,3863886
2025-Aug-06 14:45:00.000,3863911
2025-Aug-06 15:00:00.000,3863936
2025-Aug-06 15:15:00.000,3863956
2025-Aug-06 15:30:00.000,3863992
2025-Aug-06 15:45:00.000,3864025
2025-Aug-06 16:00:00.000,3864058
2025-Aug-06 16:15:00.000,3864090
2025-Aug-06 16:30:00.000,3864122
2025-Aug-06 16:45:00.000,3864154
2025-Aug-06 17:00:00.000,3864185
2025-Aug-06 17:15:00.000,3864215
2025-Aug-06 17:30:00.000,3864245
2025-Aug-06 17:45:00.000,3864274
2025-Aug-06 18:00:00.000,3864305
2025-Aug-06 18:15:00.000,3864337
2025-Aug-06 18:30:00.000,3864367
2025-Aug-06 18:45:00.000,3864399
2025-Aug-06 19:00:00.000,3864430
2025-Aug-06 19:15:00.000,3864462
2025-Aug-06 19:30:00.000,3864496
2025-Aug-06 19:45:00.000,3864528
2025-Aug-06 20:00:00.000,3864559
2025-Aug-06 20:15:00.000,3864591
2025-Aug-06 20:30:00.000,3864621
2025-Aug-06 20:45:00.000,3864652
2025-Aug-06 21:00:00.000,3864682
2025-Aug-06 21:15:00.000,3864712
2025-Aug-06 21:30:00.000,3864740
2025-Aug-06 21:45:00.000,3864770
2025-Aug-06 22:00:00.000,3864799
2025-Aug-06 22:15:00.000,3864829
2025-Aug-06 22:30:00.000,3864857
2025-Aug-06 22:45:00.000,3864886
2025-Aug-06 23:00:00.000,3864913
2025-Aug-06 23:15:00.000,3864942
2025-Aug-06 23:30:00.000,3864970
2025-Aug-06 23:45:00.000,3864998
2025-Aug-07 00:00:00.000,3865026
2025-Aug-07 00:15:00.000,3865053
2025-Aug-07 00:30:00.000,3865082
2025-Aug-07 00:45:00.000,3865110
2025-Aug-07 01:00:00.000,3865138
2025-Aug-07 01:15:00.000,3865165
2025-Aug-07 01:30:00.000,3865193
2025-Aug-07 01:45:00.000,3865221
2025-Aug-07 02:00:00.000,3865249
2025-Aug-07 02:15:00.000,3865268
2025-Aug-07 02:30:00.000,3865296
2025-Aug-07 02:45:00.000,3865324
2025-Aug-07 03:00:00.000,3865352
2025-Aug-07 03:15:00.000,3865381
2025-Aug-07 03:30:00.000,3865409
2025-Aug-07 03:45:00.000,3865438
2025-Aug-07 04:00:00.000,3865467
2025-Aug-07 04:15:00.000,3865496
2025-Aug-07 04:30:00.000,3865525
2025-Aug-07 04:45:00.000,3865554
2025-Aug-07 05:00:00.000,3865584
2025-Aug-07 05:15:00.000,3865613
2025-Aug-07 05:30:00.000,3865642
2025-Aug-07 05:45:00.000,3865671
2025-Aug-07 06:00:00.000,3865700
2025-Aug-07 06:15:00.000,3865729
2025-Aug-07 06:30:00.000,3865758
2025-Aug-07 06:45:00.000,3865788
2025-Aug-07 07:00:00.000,3865818
2025-Aug-07 07:15:00.000,3865848
2025-Aug-07 07:30:00.000,3865878
2025-Aug-07 07:45:00.000,3865909
2025-Aug-07 08:00:00.000,3865940
2025-Aug-07 08:15:00.000,3865970
2025-Aug-07 08:30:00.000,3865979
2025-Aug-07 08:45:00.000,3866001
2025-Aug-07 09:00:00.000,3866020
2025-Aug-07 09:15:00.000,3866041
2025-Aug-07 09:30:00.000,3866064
2025-Aug-07 09:45:00.000,3866087
2025-Aug-07 10:00:00.000,3866114
2025-Aug-07 10:15:00.000,3866142
2025-Aug-07 10:30:00.000,3866182
2025-Aug-07 10:45:00.000,3866214
2025-Aug-07 11:00:00.000,3866244
2025-Aug-07 11:15:00.000,3866274
2025-Aug-07 11:30:00.000,3866305
2025-Aug-07 11:45:00.000,3866334
2025-Aug-07 12:00:00.000,3866364
2025-Aug-07 12:15:00.000,3866392
2025-Aug-07 12:30:00.000,3866420
2025-Aug-07 12:45:00.000,3866429
2025-Aug-07 13:00:00.000,3866429
2025-Aug-07 13:15:00.000,3866429
2025-Aug-07 13:30:00.000,3866429
2025-Aug-07 13:45:00.000,3866429
2025-Aug-07 14:00:00.000,3866429
2025-Aug-07 14:15:00.000,3866429
2025-Aug-07 14:30:00.000,3866429
2025-Aug-07 14:45:00.000,3866429
2025-Aug-07 15:00:00.000,3866429
2025-Aug-07 15:15:00.000,3866429
2025-Aug-07 15:30:00.000,3866429
2025-Aug-07 15:45:00.000,3866429
2025-Aug-07 16:00:00.000,3866429
2025-Aug-07 16:15:00.000,3866429
2025-Aug-07 16:30:00.000,3866429
2025-Aug-07 16:45:00.000,3866429
2025-Aug-07 17:00:00.000,3866429
